IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160002869,ASSAULT,BATTERY,Friday,01/01/2016 00:00,21:35,EMBAKASI,NONE,1700 Block of BUSH ST,36.79286957,-1.309319012,"(37.788018555829, -122.426077177375)",1.6E+13
160003130,OTHER OFFENSES,PAROLE VIOLATION,Saturday,01/02/2016 00:00,00:04,DAGORETTI,"ARREST, BOOKED",MARY ST / HOWARD ST,36.82170868,-1.27877108,"(37.7808789360214, -122.405721454567)",1.6E+13
160003259,NON-CRIMINAL,FIRE REPORT,Saturday,01/02/2016 00:00,01:02,KIBRA,NONE,200 Block of EDDY ST,36.79286957,-1.309319012,"(37.7839805592634, -122.411778295992)",1.6E+13
160494545,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,06/18/2016 12:00:00 AM,09:00,KAMUKUNJI,"ARREST, BOOKED",1700 Block of 26TH ST,36.85466766,-1.275338705,"(37.7511708451997, -122.397388947833)",1.6E+13
160003970,WARRANTS,WARRANT ARREST,Saturday,01/02/2016 00:00,12:21,DAGORETTI,"ARREST, BOOKED",4TH ST / BERRY ST,36.82170868,-1.27877108,"(37.7757876218293, -122.393357241451)",1.6E+13
160494567,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,06/17/2016 12:00:00 AM,22:30,WESTLANDS,NONE,400 Block of STOCKTON ST,36.78462982,-1.239984981,"(37.789918101686, -122.406977563692)",1.6E+13
160003641,MISSING PERSON,FOUND PERSON,Friday,01/01/2016 00:00,10:06,KAMUKUNJI,NONE,100 Block of CAMERON WY,36.85466766,-1.275338705,"(37.7209669615499, -122.387181635995)",1.6E+13
160005437,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF DRUGS,Saturday,01/02/2016 00:00,22:54,MAKADARA,"ARREST, BOOKED",3000 Block of MARKET ST,36.87252045,-1.297305824,"(37.7611687534131, -122.44188411611)",1.6E+13
160003986,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Saturday,01/02/2016 00:00,09:27,KAMUKUNJI,NONE,1200 Block of 3RD ST,36.85466766,-1.275338705,"(37.7724682400061, -122.389517648036)",1.6E+13
160273537,ASSAULT,BATTERY,Sunday,04/03/2016 00:00,01:20,MAKADARA,NONE,2500 Block of MISSION ST,36.87252045,-1.297305824,"(37.7562250119744, -122.418753848152)",1.6E+13
160073014,OTHER OFFENSES,RESISTING ARREST,Monday,01/25/2016 12:00:00 AM,23:20,KAMUKUNJI,"ARREST, BOOKED",200 Block of HUNTERSPOINT BL,36.85466766,-1.275338705,"(37.7356970275482, -122.37675765553)",1.6E+13
140776777,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Thursday,09/15/2016 12:00:00 AM,07:40,MATHARE,"ARREST, BOOKED",SILVER AV / CAMELLIA AV,36.86187744,-1.257147043,"(37.7292705199592, -122.432325871028)",1.41E+13
160004069,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,01/02/2016 00:00,01:43,WESTLANDS,NONE,100 Block of SANSOME ST,36.78462982,-1.239984981,"(37.791642982384, -122.40090869889)",1.6E+13
160004150,STOLEN PROPERTY,"STOLEN CHECKS, POSSESSION",Saturday,01/02/2016 00:00,11:54,DAGORETTI,"ARREST, BOOKED",900 Block of MARKET ST,36.82170868,-1.27877108,"(37.7837069301545, -122.408595110869)",1.6E+13
160004241,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Saturday,01/02/2016 00:00,14:11,MAKADARA,NONE,900 Block of POTRERO AV,36.87252045,-1.297305824,"(37.7572895904578, -122.406870402082)",1.6E+13
160004558,ASSAULT,BATTERY WITH SERIOUS INJURIES,Saturday,01/02/2016 00:00,16:40,MAKADARA,NONE,VALENCIA ST / 26TH ST,36.87252045,-1.297305824,"(37.7489063051829, -122.420354780861)",1.6E+13
160004655,ASSAULT,BATTERY,Saturday,01/02/2016 00:00,17:05,MATHARE,NONE,900 Block of GENEVA AV,36.86187744,-1.257147043,"(37.715765426995, -122.439909766772)",1.6E+13
160004837,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,01/02/2016 00:00,17:39,DAGORETTI,JUVENILE BOOKED,900 Block of MARKET ST,36.82170868,-1.27877108,"(37.7835699386918, -122.408421116922)",1.6E+13
160005421,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Saturday,01/02/2016 00:00,21:00,EMBAKASI,NONE,GOUGH ST / ROSE ST,36.79286957,-1.309319012,"(37.7736186276456, -122.422315670749)",1.6E+13
160511785,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,06/23/2016 12:00:00 AM,21:00,WESTLANDS,NONE,400 Block of DAVIS CT,36.78462982,-1.239984981,"(37.7966976738334, -122.398324392842)",1.61E+13
160605413,TRESPASS,TRESPASSING,Wednesday,07/27/2016 12:00:00 AM,15:33,MAKADARA,NONE,300 Block of POTRERO AV,36.87252045,-1.297305824,"(37.7651192951994, -122.407544906452)",1.61E+13
160738020,TRESPASS,TRESPASSING,Thursday,09/08/2016 00:00,10:00,MATHARE,NONE,100 Block of HAMERTON AV,36.86187744,-1.257147043,"(37.7334365327686, -122.437842254623)",1.61E+13
160738020,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,09/08/2016 00:00,10:00,MATHARE,NONE,100 Block of HAMERTON AV,36.86187744,-1.257147043,"(37.7334365327686, -122.437842254623)",1.61E+13
160772222,NON-CRIMINAL,LOST PROPERTY,Thursday,09/22/2016 12:00:00 AM,12:00,DAGORETTI,NONE,800 Block of BRYANT ST,36.82170868,-1.27877108,"(37.775420706711, -122.403404791479)",1.61E+13
160772238,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,09/23/2016 12:00:00 AM,09:47,STAREHE,NONE,BRODERICK ST / SUTTER ST,36.70463562,-1.282889924,"(37.7850356913294, -122.441540269198)",1.61E+13
160772573,SECONDARY CODES,DOMESTIC VIOLENCE,Friday,09/23/2016 12:00:00 AM,08:00,MATHARE,NONE,500 Block of ALEMANY BL,36.86187744,-1.257147043,"(37.7321638759455, -122.421305348396)",1.61E+13
160772573,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,09/23/2016 12:00:00 AM,08:00,MATHARE,NONE,500 Block of ALEMANY BL,36.86187744,-1.257147043,"(37.7321638759455, -122.421305348396)",1.61E+13
160034577,ASSAULT,BATTERY WITH SERIOUS INJURIES,Tuesday,01/12/2016 00:00,11:30,DAGORETTI,NONE,800 Block of BRYANT ST,36.82170868,-1.27877108,"(37.775420706711, -122.403404791479)",1.6E+13
160035058,NON-CRIMINAL,TARASOFF REPORT,Wednesday,01/13/2016 12:00:00 AM,08:00,KIBRA,"ARREST, BOOKED",200 Block of GOLDEN GATE AV,36.79286957,-1.309319012,"(37.781863316866, -122.414302052544)",1.6E+13
160107124,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,02/05/2016 00:00,11:00,DAGORETTI,NONE,800 Block of BRYANT ST,36.82170868,-1.27877108,"(37.775420706711, -122.403404791479)",1.6E+13
160117894,OTHER OFFENSES,INCIDENT ON SCHOOL GROUNDS,Tuesday,02/09/2016 00:00,09:35,MATHARE,JUVENILE BOOKED,1500 Block of TREAT AV,36.86187744,-1.257147043,"(37.7456802881475, -122.41250614556)",1.6E+13
160156591,FAMILY OFFENSES,"CHILDREN, ABANDONMENT & NEGLECT OF (GENERAL)",Monday,02/22/2016 12:00:00 AM,14:45,MAKADARA,"ARREST, BOOKED",23RD ST / YORK ST,36.87252045,-1.297305824,"(37.7544524156637, -122.408344147531)",1.6E+13
160156745,VEHICLE THEFT,STOLEN TRUCK,Sunday,02/21/2016 12:00:00 AM,09:45,EMBAKASI,NONE,PACIFIC AV / STEINER ST,36.79286957,-1.309319012,"(37.7931360119171, -122.436383222746)",1.6E+13
160182546,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,03/02/2016 00:00,12:57,DAGORETTI,"ARREST, BOOKED",1100 Block of MARKET ST,36.82170868,-1.27877108,"(37.779514030063, -122.413564091744)",1.6E+13
160182706,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,03/01/2016 00:00,10:30,EMBAKASI,NONE,500 Block of HAYES ST,36.79286957,-1.309319012,"(37.7766280227851, -122.425416290071)",1.6E+13
160190066,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Friday,03/04/2016 00:00,23:38,ROYSAMBU,"ARREST, BOOKED",19TH AV / WAWONA ST,36.86496735,-1.222822808,"(37.7374527164974, -122.475287886078)",1.6E+13
160454602,ROBBERY,"ROBBERY, BODILY FORCE",Friday,06/03/2016 00:00,21:20,MATHARE,NONE,200 Block of HARKNESS AV,36.86187744,-1.257147043,"(37.7174337641622, -122.402120815758)",1.6E+13
160460295,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Monday,06/06/2016 00:00,05:25,MAKADARA,NONE,24TH ST / MISSION ST,36.87252045,-1.297305824,"(37.7522391652625, -122.418448186101)",1.6E+13
160740194,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,09/11/2016 00:00,20:00,MAKADARA,NONE,23RD ST / GUERRERO ST,36.87252045,-1.297305824,"(37.7535681941214, -122.423028526535)",1.61E+13
160772921,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,09/22/2016 12:00:00 AM,15:00,MATHARE,NONE,0 Block of MOFFITT ST,36.86187744,-1.257147043,"(37.7371566745272, -122.432787775164)",1.61E+13
160005750,WARRANTS,WARRANT ARREST,Sunday,01/03/2016 00:00,04:03,EMBAKASI,"ARREST, BOOKED",FRANKLIN ST / WASHINGTON ST,36.79286957,-1.309319012,"(37.7928412840447, -122.424519835009)",1.6E+13
160005841,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,01/03/2016 00:00,06:50,MAKADARA,"ARREST, BOOKED",23RD ST / FOLSOM ST,36.87252045,-1.297305824,"(37.7540986882068, -122.414233849038)",1.6E+13
160005841,OTHER OFFENSES,PROBATION VIOLATION,Sunday,01/03/2016 00:00,06:50,MAKADARA,"ARREST, BOOKED",23RD ST / FOLSOM ST,36.87252045,-1.297305824,"(37.7540986882068, -122.414233849038)",1.6E+13
160006071,ASSAULT,THREATS AGAINST LIFE,Sunday,01/03/2016 00:00,09:38,STAREHE,"ARREST, BOOKED",FULTON ST / 47TH AV,36.70463562,-1.282889924,"(37.7714939969416, -122.507750131004)",1.6E+13
160006598,OTHER OFFENSES,VIOLATION OF STAY AWAY ORDER,Sunday,01/03/2016 00:00,15:09,ROYSAMBU,"ARREST, BOOKED",0 Block of CAMBON DR,36.86496735,-1.222822808,"(37.718302204766, -122.474444639595)",1.6E+13
160006770,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,01/03/2016 00:00,10:30,MAKADARA,NONE,16TH ST / LANDERS ST,36.87252045,-1.297305824,"(37.7645752317615, -122.427562596985)",1.6E+13
160006786,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Sunday,01/03/2016 00:00,15:45,EMBAKASI,"ARREST, BOOKED",0 Block of HEMLOCK ST,36.79286957,-1.309319012,"(37.7874378309112, -122.419203004268)",1.6E+13
160006952,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,01/03/2016 00:00,17:02,MAKADARA,"ARREST, BOOKED",26TH ST / TREAT AV,36.87252045,-1.297305824,"(37.7493688284532, -122.412690142308)",1.6E+13
160007057,NON-CRIMINAL,AIDED CASE,Sunday,01/03/2016 00:00,17:01,MATHARE,NONE,500 Block of CORDOVA ST,36.86187744,-1.257147043,"(37.7092010462379, -122.434609280352)",1.6E+13
160007110,VEHICLE THEFT,STOLEN TRUCK,Sunday,01/03/2016 00:00,15:40,WESTLANDS,NONE,500 Block of POST ST,36.78462982,-1.239984981,"(37.7879209375533, -122.410882825551)",1.6E+13
160007132,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/03/2016 00:00,09:00,WESTLANDS,NONE,GREEN ST / BATTERY ST,36.78462982,-1.239984981,"(37.8004566471039, -122.401432754722)",1.6E+13
160010533,NON-CRIMINAL,FOUND PROPERTY,Monday,01/04/2016 00:00,17:15,KAMUKUNJI,NONE,IRWIN ST / 7TH ST,36.85466766,-1.275338705,"(37.7684401585615, -122.397426194726)",1.6E+13
160010549,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,01/04/2016 00:00,22:07,STAREHE,NONE,FULTON ST / 45TH AV,36.70463562,-1.282889924,"(37.7715908513299, -122.505610645185)",1.6E+13
160010555,TRESPASS,TRESPASSING,Monday,01/04/2016 00:00,21:46,LANGATA,"ARREST, BOOKED",1700 Block of MCALLISTER ST,36.80488586,-1.351193098,"(37.7775321935218, -122.440879521853)",1.6E+13
160010618,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,01/04/2016 00:00,22:29,MAKADARA,NONE,3700 Block of 20TH ST,36.87252045,-1.297305824,"(37.75823960549, -122.424644271432)",1.6E+13
160183005,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,03/02/2016 00:00,16:24,EMBAKASI,"ARREST, BOOKED",MARINA BL / AVILA ST,36.79286957,-1.309319012,"(37.8060749226245, -122.440002810073)",1.6E+13
160183754,ASSAULT,BATTERY,Wednesday,03/02/2016 00:00,18:49,DAGORETTI,"ARREST, BOOKED",800 Block of MARKET ST,36.82170868,-1.27877108,"(37.7841893501425, -122.407633520742)",1.6E+13
160183754,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Wednesday,03/02/2016 00:00,18:49,DAGORETTI,"ARREST, BOOKED",800 Block of MARKET ST,36.82170868,-1.27877108,"(37.7841893501425, -122.407633520742)",1.6E+13
160191315,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Saturday,03/05/2016 00:00,12:56,KAMUKUNJI,"ARREST, BOOKED",3RD ST / PALOU AV,36.85466766,-1.275338705,"(37.7340152180723, -122.390971734551)",1.6E+13
160547718,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,07/06/2016 00:00,19:00,DAGORETTI,NONE,700 Block of MISSION ST,36.82170868,-1.27877108,"(37.784828309361, -122.403971269057)",1.61E+13
160669754,OTHER OFFENSES,VIOLATION OF FEDERAL STATUTE,Thursday,08/18/2016 12:00:00 AM,05:30,EMBAKASI,"ARREST, BOOKED",2700 Block of VANNESS AV,36.79286957,-1.309319012,"(37.8008471613988, -122.424621298288)",1.61E+13
160669760,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,08/19/2016 12:00:00 AM,07:37,MAKADARA,NONE,500 Block of SOUTH VAN NESS AV,36.87252045,-1.297305824,"(37.764357751686, -122.41747701285)",1.61E+13
160670002,OTHER OFFENSES,INCIDENT ON SCHOOL GROUNDS,Friday,08/19/2016 12:00:00 AM,07:00,MATHARE,JUVENILE BOOKED,400 Block of RAYMOND AV,36.86187744,-1.257147043,"(37.7147347356846, -122.412457953057)",1.61E+13
160670002,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,08/19/2016 12:00:00 AM,07:00,MATHARE,JUVENILE BOOKED,400 Block of RAYMOND AV,36.86187744,-1.257147043,"(37.7147347356846, -122.412457953057)",1.61E+13
160670018,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Sunday,08/14/2016 12:00:00 AM,23:59,EMBAKASI,NONE,200 Block of FRANKLIN ST,36.79286957,-1.309319012,"(37.7763842191709, -122.421260388531)",1.61E+13
160072737,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,01/25/2016 12:00:00 AM,21:46,MATHARE,NONE,NAPLES ST / SILVER AV,36.86187744,-1.257147043,"(37.7286770057825, -122.425289624747)",1.6E+13
160072743,MISSING PERSON,MISSING JUVENILE,Monday,01/25/2016 12:00:00 AM,21:50,MAKADARA,NONE,800 Block of POTRERO AV,36.87252045,-1.297305824,"(37.7585641691709, -122.406725329529)",1.6E+13
160193606,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,03/06/2016 00:00,13:00,STAREHE,NONE,3700 Block of GEARY BL,36.70463562,-1.282889924,"(37.781114010103, -122.459439462035)",1.6E+13
160193703,FRAUD,"FALSE PRETENSES, GRAND THEFT",Saturday,02/20/2016 12:00:00 AM,13:00,MAKADARA,NONE,1800 Block of 15TH ST,36.87252045,-1.297305824,"(37.766322531621, -122.424723870424)",1.6E+13
160206378,ARSON,ARSON,Friday,03/11/2016 00:00,02:35,KAMUKUNJI,NONE,1400 Block of 18TH ST,36.85466766,-1.275338705,"(37.762495098651, -122.39701495404)",1.6E+13
160241910,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,03/23/2016 12:00:00 AM,11:40,EMBAKASI,"ARREST, BOOKED",MCALLISTER ST / VANNESS AV,36.79286957,-1.309319012,"(37.7800745746334, -122.420250482603)",1.6E+13
160241926,ROBBERY,ROBBERY OF A CHAIN STORE WITH A DANGEROUS WEAPON,Wednesday,03/23/2016 12:00:00 AM,11:47,EMBAKASI,NONE,300 Block of GOUGH ST,36.79286957,-1.309319012,"(37.7761916214672, -122.422766863019)",1.6E+13
160241932,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Monday,03/21/2016 12:00:00 AM,11:00,EMBAKASI,NONE,100 Block of REDWOOD ST,36.79286957,-1.309319012,"(37.7807270353492, -122.419507981767)",1.6E+13
160241932,LARCENY/THEFT,GRAND THEFT BICYCLE,Monday,03/21/2016 12:00:00 AM,11:00,EMBAKASI,NONE,100 Block of REDWOOD ST,36.79286957,-1.309319012,"(37.7807270353492, -122.419507981767)",1.6E+13
160549708,LARCENY/THEFT,PETTY THEFT BICYCLE,Sunday,07/03/2016 00:00,16:00,MAKADARA,NONE,CASTRO ST / 19TH ST,36.87252045,-1.297305824,"(37.7592887891683, -122.434853955762)",1.61E+13
160672553,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,08/20/2016 12:00:00 AM,05:30,EMBAKASI,"ARREST, BOOKED",LARKIN ST / GOLDEN GATE AV,36.79286957,-1.309319012,"(37.781446350134, -122.417146843836)",1.61E+13
160747087,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,09/12/2016 00:00,23:15,MAKADARA,NONE,1000 Block of CAPP ST,36.87252045,-1.297305824,"(37.7498863746378, -122.417192395984)",1.61E+13
160747093,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT",Friday,08/19/2016 12:00:00 AM,00:01,MAKADARA,NONE,300 Block of POTRERO AV,36.87252045,-1.297305824,"(37.7651269832499, -122.407406866036)",1.61E+13
160774632,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,09/24/2016 12:00:00 AM,00:20,MAKADARA,JUVENILE BOOKED,3000 Block of 19TH ST,36.87252045,-1.297305824,"(37.7604010749695, -122.412297249417)",1.61E+13
160774654,MISSING PERSON,FOUND PERSON,Friday,09/23/2016 12:00:00 AM,07:41,MATHARE,NONE,100 Block of PERSIA AV,36.86187744,-1.257147043,"(37.7226161363136, -122.434764286692)",1.61E+13
160774676,OTHER OFFENSES,TRAFFIC VIOLATION,Friday,09/23/2016 12:00:00 AM,23:45,WESTLANDS,"ARREST, BOOKED",800 Block of TAYLOR ST,36.78462982,-1.239984981,"(37.7903898371889, -122.41227857761)",1.61E+13
160774682,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,09/23/2016 12:00:00 AM,22:00,WESTLANDS,NONE,600 Block of SACRAMENTO ST,36.78462982,-1.239984981,"(37.7937673292714, -122.403497604139)",1.61E+13
160007502,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Sunday,01/03/2016 00:00,19:45,MATHARE,NONE,100 Block of AMBER DR,36.86187744,-1.257147043,"(37.7441927508932, -122.444685482273)",1.6E+13
160011014,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,01/05/2016 00:00,02:28,KAMUKUNJI,"ARREST, BOOKED",2700 Block of SAN BRUNO AV,36.85466766,-1.275338705,"(37.72700531963, -122.403408669191)",1.6E+13
160011688,OTHER OFFENSES,AGGRESSIVE SOLICITING,Tuesday,01/05/2016 00:00,12:51,MAKADARA,"ARREST, BOOKED",17TH ST / HARTFORD ST,36.87252045,-1.297305824,"(37.7625486367545, -122.434063454683)",1.6E+13
160110741,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,02/06/2016 00:00,14:00,MAKADARA,NONE,1700 Block of HARRISON ST,36.87252045,-1.297305824,"(37.7690748003847, -122.413354187018)",1.6E+13
160110757,ROBBERY,ATTEMPTED ROBBERY WITH A GUN,Saturday,02/06/2016 00:00,22:00,EMBAKASI,NONE,MCALLISTER ST / GOUGH ST,36.79286957,-1.309319012,"(37.779672005548, -122.423545232042)",1.6E+13
160115315,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,01/11/2016 00:00,13:28,STAREHE,NONE,800 Block of CLEMENT ST,36.70463562,-1.282889924,"(37.7828309192696, -122.468181258329)",1.6E+13
160115525,ASSAULT,"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION",Saturday,02/06/2016 00:00,10:30,MAKADARA,NONE,23RD ST / MISSION ST,36.87252045,-1.297305824,"(37.7538382048501, -122.418596727459)",1.6E+13
160675858,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,08/13/2016 12:00:00 AM,15:59,DAGORETTI,NONE,800 Block of MARKET ST,36.82170868,-1.27877108,"(37.7852071918419, -122.406690592261)",1.61E+13
160009956,ROBBERY,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,Monday,01/04/2016 00:00,17:50,ROYSAMBU,"ARREST, BOOKED",3200 Block of 20TH AV,36.86496735,-1.222822808,"(37.7285280627465, -122.475647460786)",1.6E+13
160010323,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,01/04/2016 00:00,20:15,MATHARE,NONE,0 Block of VIRGINIA AV,36.86187744,-1.257147043,"(37.7428517374449, -122.420967440564)",1.6E+13
160010486,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,01/04/2016 00:00,21:20,KIBRA,NONE,100 Block of HYDE ST,36.79286957,-1.309319012,"(37.7821198488931, -122.415669661443)",1.6E+13
160010492,ASSAULT,THREATS AGAINST LIFE,Sunday,01/03/2016 00:00,21:30,DAGORETTI,NONE,200 Block of 6TH ST,36.82170868,-1.27877108,"(37.7791674218963, -122.406346425632)",1.6E+13
160010505,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,01/04/2016 00:00,19:40,MAKADARA,NONE,2300 Block of 16TH ST,36.87252045,-1.297305824,"(37.7657184395282, -122.409529913278)",1.6E+13
160010511,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/04/2016 00:00,21:45,DAGORETTI,NONE,800 Block of BRYANT ST,36.82170868,-1.27877108,"(37.775420706711, -122.403404791479)",1.6E+13
160010527,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,01/04/2016 00:00,20:08,MAKADARA,NONE,1500 Block of BRYANT ST,36.87252045,-1.297305824,"(37.767524308783, -122.410738097315)",1.6E+13
160010527,ARSON,ARSON OF A COMMERCIAL BUILDING,Monday,01/04/2016 00:00,20:08,MAKADARA,NONE,1500 Block of BRYANT ST,36.87252045,-1.297305824,"(37.767524308783, -122.410738097315)",1.6E+13
160775840,ASSAULT,BATTERY,Saturday,08/13/2016 12:00:00 AM,17:30,KAMUKUNJI,NONE,1300 Block of INDIANA ST,36.85466766,-1.275338705,"(37.7539240730786, -122.390731675467)",1.61E+13
160775840,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Saturday,08/13/2016 12:00:00 AM,17:30,KAMUKUNJI,NONE,1300 Block of INDIANA ST,36.85466766,-1.275338705,"(37.7539240730786, -122.390731675467)",1.61E+13
160776133,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,09/24/2016 12:00:00 AM,14:44,EMBAKASI,NONE,100 Block of GOUGH ST,36.79286957,-1.309319012,"(37.7743290801717, -122.422527024367)",1.61E+13
160776149,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,09/23/2016 12:00:00 AM,23:00,MAKADARA,NONE,2300 Block of MISSION ST,36.87252045,-1.297305824,"(37.7594227506297, -122.419058868103)",1.61E+13
160800174,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,10/02/2016 00:00,09:40,MATHARE,NONE,100 Block of APPLETON AV,36.86187744,-1.257147043,"(37.7379500847076, -122.42189877187)",1.61E+13
160800180,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,10/01/2016 00:00,18:50,KAMUKUNJI,NONE,MABREY CT / WHITNEYYOUNG CR,36.85466766,-1.275338705,"(37.7357851434839, -122.385773186383)",1.61E+13
